State,urban,income,high_school_degree,bachelor_degree,advanced_degree,population_density,population,age,religious
Alabama,59,51113,85,25,9,94.4,4779736,38.9,88
Alaska,66,72231,92,29,10,1.2,710231,34.5,69
Arizona,89.8,61125,87,28,11,56.3,6392017,37.7,73
Arkansas,56.2,48829,86,22,8,56,2915918,38.1,82
California,95,69759,80,21,8,239.1,37253956,36.5,73
Colorado,86.2,74172,91,39,15,48.5,5029196,36.8,71
Connecticut,88,72780,90,38,17,738.1,3574097,40.9,77
Delaware,83.3,62318,89,31,13,460.8,897934,40.1,77
District of Columbia,100,83382,90,57,33,9856.5,601723,34,76
Florida,91.2,53681,88,29,10,350.6,18801310,42,76
Georgia,75.1,57016,86,30,11,168.4,9687653,36.8,82
Hawaii,91.9,73575,92,32,11,211.8,1360301,39.2,74
Idaho,70.6,60208,90,27,9,19,1567582,36.3,73
Illinois,88.5,64609,89,33,13,231.1,12830632,38,78
Indiana,72.4,58873,88,25,9,181,6483802,37.7,74
Iowa,64,63481,92,28,9,54.5,3046355,38.3,79
Kansas,74.2,57872,91,32,12,34.9,2853118,36.7,80
Kentucky,58.4,51348,85,23,10,109.9,4339367,38.9,78
Louisiana,73.2,43903,84,23,8,104.9,4533372,36.8,87
Maine,38.7,51664,92,30,11,43.1,1328361,44.6,69
Maryland,87.2,81084,90,39,18,594.8,5773552,38.7,77
Massachusetts,92,73227,90,42,19,839.4,6547629,39.5,68
Michigan,74.6,57700,90,28,11,174.8,9883640,39.8,76
Minnesota,73.3,71920,93,35,12,66.6,5303925,37.9,80
Mississippi,49.4,43441,83,21,8,63.2,2967297,37.5,86
Missouri,70.4,56885,89,28,11,87.1,5988927,38.5,80
Montana,55.9,59087,83,29,10,6.8,989415,40,70
Nebraska,73.1,59619,91,31,10,23.8,1826341,36.5,80
Nevada,94.2,56550,86,24,8,24.6,2700551,38,72
New Hampshire,60.3,74801,93,36,14,147,1316470,43.2,64
New Jersey,94.7,72997,89,38,15,1195.5,8791894,39.8,82
New Mexico,77.4,47855,85,27,12,17,2059179,37.7,79
New York,87.9,62447,86,35,15,411.2,19378102,38.7,73
North Carolina,66.1,50343,87,30,11,196.1,9535483,38.8,80
North Dakota,59.9,59886,92,29,8,9.7,672591,35.4,80
Ohio,77.9,59768,90,27,10,282.3,11536504,39.3,78
Oklahoma,66.2,55006,88,25,8,54.7,3751351,36.6,82
Oregon,81,64610,90,32,12,39.9,3831074,39.3,69
Pennsylvania,78.7,63173,90,30,12,283.9,12702379,40.8,79
Rhode Island,90.7,66390,87,33,13,1018.1,1052567,39.5,80
South Carolina,66.3,54971,87,27,10,153.9,4625364,39.4,81
South Dakota,56.7,56894,91,28,8,10.7,814180,36.9,82
Tennessee,66.4,55240,87,26,10,153.9,6346105,38.6,86
Texas,84.7,59295,80,22,8,96.3,25145561,34.7,82
Utah,90.6,71319,92,33,11,33.6,2763885,31,78
Vermont,38.9,63805,92,37,15,67.9,625741,42.6,63
Virginia,75.5,71293,89,38,16,202.6,8001024,38.2,80
Washington,84.1,75418,91,35,13,101.2,6724540,37.7,68
West Virginia,48.7,45392,86,20,8,77.1,1852994,42.4,82
Wisconsin,70.2,63451,92,29,10,105,5686986,39.5,75
Wyoming,64.8,57837,93,27,9,5.8,563626,37.5,74
